school,year,gender,applied,admitted,enrolled
uchicago,2021-2022,men,17513,1254,1067
uchicago,2021-2022,women,20445,1206,986
uchicago,2022-2023,men,16830,1064,937
uchicago,2022-2023,women,20670,975,792
uchicago,2022-2023,non-binary,22,na,na
uchicago,2023-2024,men,17373,994,885
uchicago,2023-2024,women,21249,855,741
uchicago,2023-2024,non-binary,9,0,0
northwestern,2021-2022,men,21781,1452,925
northwestern,2021-2022,women,25855,1869,1161
northwestern,2021-2022,non-binary,na,na,na
northwestern,2022-2023,men,23534,1652,923
northwestern,2022-2023,women,27725,2043,1115
northwestern,2022-2023,non-binary,2,0,0
northwestern,2023-2024,men,24511,1729,965
northwestern,2023-2024,women,27256,2010,1144
northwestern,2023-2024,non-binary,2,0,2
cornell,2021-2022,men,33488,2613,1670
cornell,2021-2022,women,33892,3239,2048
cornell,2021-2022,non-binary,na,na,na
cornell,2022-2023,men,35492,2317,1570
cornell,2022-2023,women,35672,2851,1921
cornell,2022-2023,non-binary,na,na,na
cornell,2023-2024,men,33674,2459,1643
cornell,2023-2024,women,34172,2459,1894
cornell,2023-2024,non-binary,0,0,0
